Date,Team,Opponent,Competition,Result,Goals
2009-05-10,Los Angeles,Seattle,MLS,D 1-1,0
2009-05-17,Los Angeles,Columbus,MLS,D 1-1,0
2009-05-23,Los Angeles,Dallas,MLS,D 1-1,1
2009-05-30,Los Angeles,Kansas City,MLS,D 1-1,0
2009-06-03,USA,Costa Rica,WCQ,L 3-1,1
2009-06-06,USA,Honduras,WCQ,W 2-1,1
2009-06-15,USA,Italy,Confederations Cup,L 1-3,1
2009-06-18,USA,Brazil,Confederations Cup,L 0-3,0
2009-06-21,USA,Egypt,Confederations Cup,W 0-3,0
2009-06-24,USA,Spain,Confederations Cup,W 0-2,0
2009-06-28,USA,Brazil,Confederations Cup,L 2-3,1
2009-07-11,Los Angeles,Chivas USA,MLS,W 0-1,0
2009-07-16,Los Angeles,NY Red Bulls,MLS,W 1-3,1
2009-07-25,Los Angeles,Kansas City,MLS,D 1-1,1
2009-07-29,MLS All-Star,Everton,All-Star,,
2009-08-08,Los Angeles,New England,MLS,W 1-2,1
2009-08-12,USA,Mexico,WCQ,L 2-1,0
2009-08-15,Los Angeles,Seattle,MLS,L 0-2,0
2009-08-19,Los Angeles,Chicago,MLS,W 0-2,1
2009-08-22,Los Angeles,DC United,MLS,D 0-0,0
2009-08-29,Los Angeles,Chivas USA,MLS,W 1-0,0
2009-09-05,USA,El Salvador,WCQ,W 2-1,0
2009-09-09,USA,Trin & Tob,WCQ,W 0-1,0
2009-09-12,Los Angeles,Dallas,MLS,L 3-6,0
2009-09-19,Los Angeles,Toronto,MLS,W 2-0,0
2009-09-26,Los Angeles,Columbus,MLS,L 2-0,0
2009-10-02,Los Angeles,Chicago,MLS,W 1-0,1
2009-10-10,USA,Honduras,WCQ,W 2-3,1
2009-10-14,USA,Costa Rica,WCQ,D 2-2,0
2009-10-18,Los Angeles,Houston,MLS,D 0-0,0
2009-10-24,Los Angeles,San Jose,MLS,W 2-0,1
2009-11-01,Los Angeles,Chivas USA,MLS,D 2-2,1
2009-11-08,Los Angeles,Chivas USA,MLS,W 1-0,1
2009-11-13,Los Angeles,Houston,MLS,W 2-0,1
2009-11-22,Los Angeles,Salt Lake,MLS,L 1-1,0
2010-01-09,Everton,Arsenal,EPL,D 2-2,0
2010-01-16,Everton,Man City,EPL,W 2-0,0
2010-01-23,Everton,Birmingham,FA Cup,L 1-2,0
2010-01-27,Everton,Sunderland,EPL,W 2-0,1
2010-01-30,Everton,Wigan,EPL,W 0-1,0
2010-02-06,Everton,Liverpool,EPL,L 1-0,0
2010-02-10,Everton,Chelsea,EPL,W 2-1,0
2010-02-16,Everton,SP Lisbon,Europa,W 2-1,0
2010-02-20,Everton,Man Utd,EPL,W 3-1,0
2010-02-25,Everton,SP Lisbon,Europa,L 3-0,0
2010-02-28,Everton,Tottenham,EPL,L 2-1,0
2010-03-03,USA,Netherlands,Friendly,L 2-1,0
2010-03-07,Everton,Hull,EPL,W 5-1,1
2010-03-13,Everton,Birmingham,EPL,D 2-2,0
2010-03-27,Los Angeles,New England,MLS,W 1-0,0
